FIGHT | 5th guess | SUCCESS
COOCH | 6th guess | FAIL
RUMOR | 4th guess | SUCCESS
PHONE | 4th guess | SUCCESS
ILIAC | 5th guess | SUCCESS
LEASH | 4th guess | SUCCESS
SPIRE | 5th guess | SUCCESS
TOKEN | 4th guess | SUCCESS
HUSSY | 4th guess | SUCCESS
SWELL | 6th guess | SUCCESS
TUTOR | 5th guess | SUCCESS
STAID | 4th guess | SUCCESS
ISSUE | 5th guess | SUCCESS
MAJOR | 5th guess | SUCCESS
DRAKE | 4th guess | SUCCESS
WAFER | 6th guess | SUCCESS
AWARE | 6th guess | SUCCESS
ROVER | 6th guess | SUCCESS
PRANK | 4th guess | SUCCESS
SOUTH | 4th guess | SUCCESS
CLEAN | 5th guess | SUCCESS
CREST | 4th guess | SUCCESS
ABORT | 4th guess | SUCCESS
SWEAT | 6th guess | FAIL
RECAP | 6th guess | SUCCESS
LOAMY | 4th guess | SUCCESS
NEXUS | 4th guess | SUCCESS
PALED | 6th guess | FAIL
CHAIR | 4th guess | SUCCESS
SHOOK | 4th guess | SUCCESS
QUILL | 4th guess | SUCCESS
CARGO | 5th guess | SUCCESS
IMPLY | 4th guess | SUCCESS
SEMEN | 5th guess | SUCCESS
TAPER | 5th guess | SUCCESS
INERT | 4th guess | SUCCESS
AROSE | 4th guess | SUCCESS
SCORE | 5th guess | SUCCESS
QUILT | 4th guess | SUCCESS
UNDUE | 5th guess | SUCCESS
BURRO | 5th guess | SUCCESS
PAVER | 6th guess | FAIL
ERECT | 5th guess | SUCCESS
FROND | 4th guess | SUCCESS
SCREW | 6th guess | FAIL
HAZEL | 5th guess | SUCCESS
CHORD | 4th guess | SUCCESS
CLASH | 4th guess | SUCCESS
FOYER | 4th guess | SUCCESS
BASIS | 4th guess | SUCCESS
SENSE | 4th guess | SUCCESS
NAVEL | 4th guess | SUCCESS
EXULT | 5th guess | SUCCESS
TAKER | 6th guess | FAIL
NEWER | 5th guess | SUCCESS
CATTY | 5th guess | SUCCESS
EQUIP | 4th guess | SUCCESS
SPELL | 6th guess | SUCCESS
QUAIL | 5th guess | SUCCESS
CRIME | 6th guess | SUCCESS
BEZEL | 6th guess | FAIL
TWIRL | 4th guess | SUCCESS
CRAZY | 5th guess | SUCCESS
SOCKS | 4th guess | SUCCESS
PEACH | 4th guess | SUCCESS
SHUNT | 4th guess | SUCCESS
VOUCH | 4th guess | SUCCESS
BARIC | 6th guess | FAIL
REPAY | 4th guess | SUCCESS
TUMMY | 6th guess | SUCCESS
INANE | 4th guess | SUCCESS
CURSE | 4th guess | SUCCESS
TOUGH | 5th guess | SUCCESS
LOATH | 4th guess | SUCCESS
GAUNT | 4th guess | SUCCESS
DUSTY | 4th guess | SUCCESS
SCOOP | 6th guess | SUCCESS
MAXIM | 5th guess | SUCCESS
JUMPY | 6th guess | SUCCESS
VELDT | 4th guess | SUCCESS
SAUTE | 4th guess | SUCCESS
CRUMP | 4th guess | SUCCESS
DRUNK | 4th guess | SUCCESS
ROBIN | 5th guess | SUCCESS
GOODY | 4th guess | SUCCESS
FORTE | 4th guess | SUCCESS
AMPLE | 4th guess | SUCCESS
WHORL | 4th guess | SUCCESS
FIRST | 4th guess | SUCCESS
TROOP | 4th guess | SUCCESS
SULLY | 6th guess | SUCCESS
TOOTH | 6th guess | SUCCESS
PINEY | 4th guess | SUCCESS
GRILL | 4th guess | SUCCESS
BRUNT | 4th guess | SUCCESS
QUARK | 4th guess | SUCCESS
LIGHT | 4th guess | SUCCESS
TRUMP | 4th guess | SUCCESS
PARED | 6th guess | FAIL
PARKA | 4th guess | SUCCESS
MUSTY | 6th guess | SUCCESS
GAMER | 4th guess | SUCCESS
COMMA | 4th guess | SUCCESS
CHAIN | 4th guess | SUCCESS
RENAL | 4th guess | SUCCESS
SCRUB | 6th guess | SUCCESS
DROSS | 5th guess | SUCCESS
NEEDY | 4th guess | SUCCESS
RAISE | 5th guess | SUCCESS
COXES | 6th guess | FAIL
HILLY | 6th guess | SUCCESS
AXELS | 6th guess | FAIL
ROUGE | 4th guess | SUCCESS
TATTY | 6th guess | FAIL
STOKE | 4th guess | SUCCESS
CREEP | 6th guess | INIT
ALLAY | 4th guess | SUCCESS
WEDGE | 5th guess | SUCCESS
THROW | 5th guess | SUCCESS
GOURD | 6th guess | SUCCESS
SEVEN | 4th guess | SUCCESS
LACER | 6th guess | FAIL
TOAST | 5th guess | SUCCESS
